index,Topics
MED-449,"['animal husbandry', 'animals', 'circovirus / isolation &amp; purification', 'communicable disease control / methods', 'global health', 'humans', 'porcine respiratory and reproductive syndrome virus / isolation &amp; purification', 'swine', 'swine diseases / epidemiology', 'swine diseases / prevention &amp; control', 'swine diseases / virology']"
MED-450,"['adult', 'animal husbandry', 'animals', 'antibodies, viral / blood', 'commerce', 'environmental monitoring / methods', 'female', 'humans', 'inhalation exposure / analysis', 'male', 'occupational diseases / immunology', 'occupational diseases / virology', 'occupational exposure / analysis', 'poultry / virology', 'poultry diseases / immunology', 'poultry diseases / transmission', 'reticuloendotheliosis viruses, avian / immunology', 'reticuloendotheliosis viruses, avian / pathogenicity', 'reticuloendotheliosis, avian / immunology', 'reticuloendotheliosis, avian / transmission', 'risk assessment']"
MED-451,"['breast neoplasms / mortality', 'cause of death', 'female', 'follow-up studies', 'food industry / statistics &amp; numerical data', 'humans', 'male', 'myocardial ischemia / mortality', 'neoplasms / mortality', 'occupational diseases / mortality', 'seafood', 'stomach neoplasms / mortality', 'stroke / mortality', 'thyroid diseases / mortality', 'united states / epidemiology']"
MED-452,"['adult', 'alpharetrovirus / immunology', 'animals', 'antibodies, viral / blood', 'female', 'food industry', 'humans', 'male', 'occupational exposure / analysis', 'poultry / virology', 'risk assessment']"
MED-453,"['age distribution', 'animal husbandry / statistics &amp; numerical data', 'animals', 'continental population groups', 'humans', 'influenza in birds / transmission', 'liver neoplasms / etiology', 'occupational diseases / etiology', 'occupational exposure / statistics &amp; numerical data', 'oncogenic viruses / pathogenicity', 'pancreatic neoplasms / etiology', 'pilot projects', 'poultry', 'risk factors', 'sex distribution', 'typhoid-paratyphoid vaccines / administration &amp; dosage', 'yellow fever vaccine / administration &amp; dosage']"
MED-454,"['asbestos / adverse effects', 'carcinogens', 'environmental exposure / adverse effects', 'epidemiologic studies', 'genetic predisposition to disease', 'humans', 'mesothelioma / chemically induced', 'mesothelioma / epidemiology', 'mesothelioma / pathology', 'mineral fibers / adverse effects', 'pleural effusion, malignant / chemically induced', 'pleural effusion, malignant / epidemiology', 'pleural effusion, malignant / pathology', 'sicily / epidemiology']"
MED-455,"['asbestos / adverse effects', 'asbestosis / diagnostic imaging', 'asbestosis / etiology', 'health surveys', 'humans', 'maximum allowable concentration', 'occupational exposure / adverse effects', 'radiography']"
MED-456,"['adult', 'alveolitis, extrinsic allergic / etiology', 'female', 'humans', 'male', 'meat products / adverse effects', 'middle aged', 'pulmonary diffusing capacity', 'skin tests']"
MED-457,"['adolescent', 'adult', 'african continental ancestry group', 'aged', 'alcohol drinking / epidemiology', 'carcinoma, hepatocellular / epidemiology', 'carcinoma, hepatocellular / virology', 'case-control studies', 'diabetes mellitus / epidemiology', 'european continental ancestry group', 'female', 'hepatitis b core antigens / blood', 'hepatitis, viral, human / epidemiology', 'humans', 'liver neoplasms / epidemiology', 'liver neoplasms / virology', 'los angeles / epidemiology', 'male', 'middle aged', 'odds ratio', 'prevalence', 'risk factors', 'smoking']"
MED-458,"['adenocarcinoma / epidemiology', 'adenocarcinoma / etiology', 'adult', 'aged', 'aged, 80 and over', 'case-control studies', 'cohort studies', 'female', 'humans', 'male', 'middle aged', 'pancreatic neoplasms / epidemiology', 'pancreatic neoplasms / etiology', 'prospective studies', 'risk', 'smoking / adverse effects', 'smoking / epidemiology', 'smoking cessation / statistics &amp; numerical data', 'united states / epidemiology']"
MED-459,"['asbestos / toxicity', 'biomarkers, tumor', 'humans', 'lung neoplasms / chemically induced', 'lung neoplasms / diagnosis', 'lung neoplasms / pathology', 'mesothelioma / chemically induced', 'mesothelioma / diagnosis', 'mesothelioma / pathology', 'occupational exposure / adverse effects', 'tomography, x-ray computed']"
MED-460,"['body image', 'carotenoids', 'diet / psychology', 'fruit', 'health knowledge, attitudes, practice', 'health promotion / methods', 'humans', 'motivation', 'vegetables']"
MED-461,"['adult', 'carbonated beverages', 'color', 'feeding behavior / psychology', 'female', 'food preferences / psychology', 'food', 'humans', 'male', 'perception']"
MED-462,"['adolescent', 'beauty', 'choice behavior / physiology', 'color', 'cosmetics', 'cues', 'european continental ancestry group', 'face / anatomy &amp; histology', 'facial expression', 'female', 'humans', 'lip', 'male', 'sex characteristics', 'sex factors', 'sexual behavior / psychology', 'young adult']"
MED-463,"['adolescent', 'adult', 'antioxidants', 'carotenoids', 'diet', 'female', 'fruit', 'humans', 'male', 'skin pigmentation', 'time factors', 'vegetables', 'young adult']"
MED-464,"['dietary fats', 'fatty acids, nonesterified / administration &amp; dosage', 'fatty acids, nonesterified / metabolism', 'humans', 'mouth / physiology', 'pleasure', 'taste / physiology', 'taste perception / physiology']"
MED-465,"['adult', 'body weight', 'diet, sodium-restricted', 'energy intake', 'female', 'humans', 'longitudinal studies', 'male', 'middle aged', 'obesity / diet therapy', 'sodium / analysis', 'taste']"
MED-466,"['adult', 'aged', 'analysis of variance', 'appetite regulation / physiology', 'cognitive behavioral therapy', 'diet, fat-restricted / psychology', 'dietary fats', 'female', 'food preferences / psychology', 'humans', 'middle aged', 'obesity / psychology', 'obesity / therapy', 'prospective studies']"
MED-467,"['chi-square distribution', 'dietary fats / administration &amp; dosage', 'dietary fats / metabolism', 'eating / physiology', 'feeding behavior / physiology', 'female', 'humans', 'hypersensitivity / metabolism', 'male', 'obesity / etiology', 'oleic acid / administration &amp; dosage', 'oleic acid / metabolism', 'taste / physiology', 'young adult']"
MED-468,"['adult', 'australia', 'cross-over studies', 'diet, fat-restricted', 'diet, high-fat', 'energy intake', 'feeding behavior', 'female', 'food preferences', 'humans', 'male', 'nutritional physiological phenomena', 'obesity / epidemiology', 'obesity / metabolism', 'oleic acid', 'surveys and questionnaires', 'taste perception', 'taste threshold']"
MED-469,"['child, preschool', 'cooking / methods', 'cross-over studies', 'diet', 'energy intake', 'food preferences', 'health promotion', 'humans', 'vegetables']"
MED-470,"['child, preschool', 'cooking / methods', 'cross-over studies', 'diet', 'energy intake', 'food preferences', 'health promotion', 'humans', 'vegetables']"
MED-471,"['child', 'choice behavior', 'feeding behavior', 'female', 'food preferences', 'fruit', 'humans', 'male', 'parents', 'schools', 'snacks', 'surveys and questionnaires', 'vegetables']"
MED-472,"['adult', 'belgium', 'child behavior', 'child, preschool', 'diet / standards', 'diet surveys', 'feeding behavior', 'female', 'health behavior', 'humans', 'male', 'parent-child relations', 'parenting', 'personality', 'regression analysis', 'surveys and questionnaires']"
MED-473,"['analysis of variance', 'body mass index', 'child', 'energy intake', 'exercise', 'feeding behavior', 'female', 'food', 'humans', 'male', 'students / statistics &amp; numerical data', 'surveys and questionnaires']"
MED-474,"['brassica / chemistry', 'child, preschool', 'energy intake', 'feeding behavior', 'female', 'food preferences', 'hispanic americans', 'humans', 'male', 'propylthiouracil / analysis', 'taste / genetics', 'vegetables']"
MED-475,"['appetitive behavior', 'daucus carota', 'feeding behavior', 'food services / economics', 'food services / statistics &amp; numerical data', 'health promotion', 'humans', 'names', 'school health services', 'students / psychology', 'students / statistics &amp; numerical data', 'vegetables']"
MED-476,"['analysis of variance', 'body mass index', 'child', 'energy intake', 'exercise', 'feeding behavior', 'female', 'food', 'humans', 'male', 'students / statistics &amp; numerical data', 'surveys and questionnaires']"
MED-477,"['air pollutants / blood', 'air pollution / legislation &amp; jurisprudence', 'brain neoplasms / epidemiology', 'environmental exposure / statistics &amp; numerical data', 'environmental policy', 'gasoline', 'humans', 'incidence', 'lead / blood', 'petroleum pollution / statistics &amp; numerical data', 'taiwan / epidemiology']"
MED-478,"['attention deficit disorder with hyperactivity / chemically induced', 'attention deficit disorder with hyperactivity / diet therapy', 'attention deficit disorder with hyperactivity / epidemiology', 'attention deficit disorder with hyperactivity / prevention &amp; control', 'child', 'diet / adverse effects', 'food coloring agents / toxicity', 'humans']"
MED-479,"['child', 'child, preschool', 'cross-over studies', 'double-blind method', 'family', 'female', 'food coloring agents / administration &amp; dosage', 'food coloring agents / adverse effects', 'food preservatives / administration &amp; dosage', 'food preservatives / adverse effects', 'humans', 'hyperkinesis / chemically induced', 'male', 'sodium benzoate / administration &amp; dosage', 'sodium benzoate / adverse effects']"
MED-480,"['attention deficit disorder with hyperactivity / diet therapy', 'attention deficit disorder with hyperactivity / etiology', 'benzoates / adverse effects', 'biomedical research / trends', 'child', 'food coloring agents / adverse effects', 'food hypersensitivity / complications', 'food preservatives / adverse effects', 'humans']"
MED-481,"['adolescent', 'attention deficit disorder with hyperactivity / physiopathology', 'attention deficit disorder with hyperactivity / psychology', 'attention deficit disorder with hyperactivity / therapy', 'child', 'child behavior / physiology', 'child behavior / psychology', 'cognition', 'exercise / physiology', 'exercise / psychology', 'humans', 'motor activity / physiology', 'sports']"
MED-482,"['2-pyridinylmethylsulfinylbenzimidazoles / therapeutic use', 'adolescent', 'ambulatory care', 'anti-bacterial agents / therapeutic use', 'attention deficit disorder with hyperactivity / drug therapy', 'central nervous system stimulants / therapeutic use', 'child', 'child, preschool', 'drug utilization / statistics &amp; numerical data', 'drug utilization / trends', 'gastroesophageal reflux / drug therapy', 'health care surveys', 'humans', 'infant', 'infant, newborn', 'lansoprazole', 'least-squares analysis', 'linear models', 'methylphenidate / therapeutic use', 'practice patterns, physicians&#39; / statistics &amp; numerical data', 'practice patterns, physicians&#39; / trends', 'proton pump inhibitors / therapeutic use', 'united states']"
MED-483,"['bronchiolitis obliterans / chemically induced', 'bronchiolitis obliterans / epidemiology', 'butter', 'diacetyl / toxicity', 'dose-response relationship, drug', 'flavoring agents / toxicity', 'food-processing industry / legislation &amp; jurisprudence', 'inhalation exposure', 'lung / drug effects', 'national institute for occupational safety and health, u.s.', 'occupational diseases / chemically induced', 'occupational diseases / epidemiology', 'occupational exposure', 'united states / epidemiology', 'united states food and drug administration', 'united states occupational safety and health administration', 'volatilization']"
MED-484,"['bronchiolitis obliterans / chemically induced', 'bronchiolitis obliterans / pathology', 'consumer product safety / standards', 'diacetyl / poisoning', 'female', 'flavoring agents / poisoning', 'food-processing industry / standards', 'humans', 'inhalation exposure / adverse effects', 'male', 'microwaves', 'middle aged', 'united states', 'zea mays']"
MED-485,"['cardiovascular diseases / complications', 'cardiovascular diseases / prevention &amp; control', 'erectile dysfunction / complications', 'humans', 'life style', 'male', 'nitric oxide / metabolism', 'penile erection / physiology', 'risk factors']"
MED-486,"['erectile dysfunction / diet therapy', 'erectile dysfunction / therapy', 'female', 'humans', 'life style', 'male', 'practice guidelines as topic', 'sexual dysfunction, physiological / diet therapy', 'sexual dysfunction, physiological / therapy']"
MED-487,"['adult', 'c-reactive protein / metabolism', 'diet, mediterranean', 'endothelium, vascular / physiology', 'erectile dysfunction / diet therapy', 'erectile dysfunction / etiology', 'humans', 'male', 'metabolic syndrome / complications', 'metabolic syndrome / diet therapy', 'middle aged', 'penile erection / physiology', 'treatment outcome']"
MED-488,"['cardiovascular diseases / epidemiology', 'cardiovascular diseases / etiology', 'china / epidemiology', 'erectile dysfunction / complications', 'erectile dysfunction / epidemiology', 'follow-up studies', 'humans', 'incidence', 'male', 'prospective studies', 'risk assessment / methods', 'risk factors']"
MED-489,"['adolescent', 'adult', 'cause of death', 'chronic disease / mortality', 'follow-up studies', 'health behavior', 'humans', 'life style', 'middle aged', 'mortality', 'nurses / statistics &amp; numerical data', 'proportional hazards models', 'risk assessment', 'risk factors', 'smoking / mortality', 'surveys and questionnaires', 'united states / epidemiology', 'young adult']"
MED-490,"['administration, oral', 'clinical trials as topic', 'erectile dysfunction / drug therapy', 'humans', 'male', 'phosphodiesterase inhibitors / administration &amp; dosage', 'phosphodiesterase inhibitors / adverse effects', 'piperazines / administration &amp; dosage', 'piperazines / adverse effects', 'purines / administration &amp; dosage', 'purines / adverse effects', 'sildenafil citrate', 'sulfones / administration &amp; dosage', 'sulfones / adverse effects']"
MED-491,"['adult', 'aged', 'child', 'erectile dysfunction / drug therapy', 'female', 'glaucoma, angle-closure / chemically induced', 'humans', 'male', 'middle aged', 'optic atrophy / chemically induced', 'optic neuropathy, ischemic / chemically induced', 'phosphodiesterase 5 inhibitors / adverse effects', 'phosphodiesterase 5 inhibitors / therapeutic use', 'piperazines / adverse effects', 'piperazines / therapeutic use', 'purines / adverse effects', 'purines / therapeutic use', 'retinal artery occlusion / chemically induced', 'retinal vein occlusion / chemically induced', 'sildenafil citrate', 'sulfones / adverse effects', 'sulfones / therapeutic use', 'vision disorders / chemically induced']"
MED-492,"['adult', 'diet', 'erectile dysfunction / blood', 'erectile dysfunction / diet therapy', 'humans', 'lipids / blood', 'male', 'middle aged', 'phytotherapy', 'pistacia', 'plant preparations / therapeutic use', 'prospective studies', 'treatment outcome']"
MED-493,"['adult', 'c-reactive protein / metabolism', 'diet, mediterranean', 'endothelium, vascular / physiology', 'erectile dysfunction / diet therapy', 'erectile dysfunction / etiology', 'humans', 'male', 'metabolic syndrome / complications', 'metabolic syndrome / diet therapy', 'middle aged', 'penile erection / physiology', 'treatment outcome']"
MED-494,"['adult', 'aged', 'body mass index', 'diabetes mellitus, type 2 / diet therapy', 'diabetes mellitus, type 2 / psychology', 'diet, mediterranean / psychology', 'female', 'humans', 'middle aged', 'patient compliance / psychology', 'sexual behavior', 'surveys and questionnaires', 'waist circumference', 'waist-hip ratio']"
MED-495,"['ambulatory care', 'atherosclerosis / epidemiology', 'atherosclerosis / prevention &amp; control', 'cardiovascular diseases / drug therapy', 'cardiovascular diseases / epidemiology', 'cardiovascular diseases / prevention &amp; control', 'erectile dysfunction / drug therapy', 'erectile dysfunction / physiopathology', 'erectile dysfunction / therapy', 'humans', 'life style', 'male', 'patient education as topic', 'penile erection / physiology', 'risk factors']"
MED-496,"['adult', 'atherosclerosis / diagnosis', 'blood pressure', 'brachial artery / physiology', 'cardiovascular diseases / etiology', 'cardiovascular diseases / physiopathology', 'endothelium, vascular / diagnostic imaging', 'endothelium, vascular / physiopathology', 'erectile dysfunction / etiology', 'humans', 'inflammation / complications', 'inflammation / physiopathology', 'male', 'risk factors', 'ultrasonography', 'vasodilation / physiology']"
MED-497,"['cardiovascular diseases / complications', 'cardiovascular diseases / prevention &amp; control', 'erectile dysfunction / complications', 'humans', 'life style', 'male', 'nitric oxide / metabolism', 'penile erection / physiology', 'risk factors']"
MED-498,"['attitude to health', 'behavior therapy', 'cardiovascular agents / therapeutic use', 'confidence intervals', 'coronary artery disease / complications', 'coronary artery disease / physiopathology', 'coronary artery disease / psychology', 'coronary artery disease / therapy', 'databases, factual', 'erectile dysfunction / etiology', 'erectile dysfunction / physiopathology', 'erectile dysfunction / psychology', 'erectile dysfunction / therapy', 'global health', 'humans', 'life style', 'male', 'middle aged', 'outcome assessment, health care', 'phosphodiesterase 5 inhibitors / therapeutic use', 'randomized controlled trials as topic', 'risk factors', 'risk reduction behavior']"
MED-499,"['ambulatory care', 'atherosclerosis / epidemiology', 'atherosclerosis / prevention &amp; control', 'cardiovascular diseases / drug therapy', 'cardiovascular diseases / epidemiology', 'cardiovascular diseases / prevention &amp; control', 'erectile dysfunction / drug therapy', 'erectile dysfunction / physiopathology', 'erectile dysfunction / therapy', 'humans', 'life style', 'male', 'patient education as topic', 'penile erection / physiology', 'risk factors']"
MED-500,"['adenosine', 'adult', 'aged', 'blood flow velocity / physiology', 'cohort studies', 'comorbidity', 'coronary disease / complications', 'coronary disease / diagnostic imaging', 'exercise test', 'humans', 'impotence, vasculogenic / diagnostic imaging', 'male', 'middle aged', 'penis / blood supply', 'risk factors', 'tomography, emission-computed, single-photon', 'ultrasonography, doppler, color']"
MED-501,"['adult', 'aged', 'coronary disease / complications', 'coronary disease / physiopathology', 'erectile dysfunction / etiology', 'erectile dysfunction / physiopathology', 'humans', 'male', 'middle aged', 'multivariate analysis', 'prospective studies', 'risk factors', 'surveys and questionnaires']"
MED-502,"['cardiovascular diseases / complications', 'cardiovascular diseases / prevention &amp; control', 'erectile dysfunction / complications', 'humans', 'life style', 'male', 'nitric oxide / metabolism', 'penile erection / physiology', 'risk factors']"
MED-503,"['arteries / pathology', 'coronary artery disease / epidemiology', 'coronary artery disease / physiopathology', 'coronary vessels / pathology', 'erectile dysfunction / epidemiology', 'erectile dysfunction / physiopathology', 'humans', 'male', 'penis / blood supply']"
MED-504,"['adult', 'aged', 'aged, 80 and over', 'angina pectoris / epidemiology', 'coronary angiography', 'coronary artery disease / diagnostic imaging', 'coronary artery disease / epidemiology', 'emergency medical services / statistics &amp; numerical data', 'erectile dysfunction / epidemiology', 'humans', 'italy / epidemiology', 'male', 'middle aged', 'prevalence', 'prospective studies', 'risk factors', 'time factors']"
MED-505,"['cardiovascular diseases / mortality', 'cardiovascular diseases / prevention &amp; control', 'coronary disease / complications', 'early diagnosis', 'erectile dysfunction / complications', 'erectile dysfunction / diagnosis', 'erectile dysfunction / therapy', 'family characteristics', 'humans', 'male', 'quality of life', 'sexuality']"
MED-506,"['adult', 'age distribution', 'age factors', 'aged', 'coronary angiography', 'coronary artery disease / epidemiology', 'erectile dysfunction / epidemiology', 'humans', 'incidence', 'longitudinal studies', 'male', 'middle aged', 'minnesota / epidemiology', 'multivariate analysis', 'prevalence', 'proportional hazards models', 'prospective studies']"
MED-507,"['adult', 'blood pressure', 'body weight', 'diet', 'double-blind method', 'female', 'humans', 'iodine / administration &amp; dosage', 'lipids / blood', 'male', 'metabolic syndrome / physiopathology', 'metabolic syndrome / prevention &amp; control', 'metabolic syndrome / therapy', 'middle aged', 'placebos', 'seaweed', 'waist circumference']"
MED-508,"['adult', 'aged', 'animals', 'california / epidemiology', 'case-control studies', 'diet', 'environmental exposure / adverse effects', 'female', 'humans', 'incidence', 'iodine / adverse effects', 'iodine / analysis', 'middle aged', 'nails / chemistry', 'risk factors', 'san francisco / epidemiology', 'shellfish', 'thyroid neoplasms / epidemiology', 'thyroid neoplasms / ethnology', 'thyroid neoplasms / etiology', 'women&#39;s health']"
MED-509,"['functional food / analysis', 'humans', 'nutritive value', 'oceans and seas', 'seaweed / chemistry']"
MED-510,"['adult', 'aged', 'agricultural workers&#39; diseases / epidemiology', 'case-control studies', 'diet / adverse effects', 'female', 'hawaii / epidemiology', 'humans', 'iodine / adverse effects', 'male', 'middle aged', 'obesity / complications', 'philippines / ethnology', 'risk factors', 'shellfish', 'thyroid diseases / complications', 'thyroid neoplasms / epidemiology', 'thyroid neoplasms / etiology', 'thyroid neoplasms / pathology', 'vegetables']"
MED-511,"['aged', 'cross-over studies', 'diet', 'dietary supplements', 'double-blind method', 'equol', 'estradiol / blood', 'estrogens / blood', 'estrogens / metabolism', 'estrogens / urine', 'female', 'genistein / urine', 'humans', 'isoflavones / urine', 'middle aged', 'phytoestrogens / metabolism', 'phytoestrogens / urine', 'placebos', 'postmenopause / metabolism', 'seaweed', 'sex hormone-binding globulin / analysis', 'soybean proteins / administration &amp; dosage']"
MED-512,"['adult', 'aged', 'breast neoplasms / epidemiology', 'breast neoplasms / prevention &amp; control', 'case-control studies', 'diet', 'diet surveys', 'female', 'food', 'humans', 'korea / epidemiology', 'middle aged', 'odds ratio', 'risk factors', 'seaweed']"
MED-513,"['9,10-dimethyl-1,2-benzanthracene', 'animals', 'apoptosis', 'breast neoplasms / pathology', 'culture media', 'humans', 'iodine / administration &amp; dosage', 'iodine / therapeutic use', 'mammary neoplasms, experimental / chemically induced', 'mammary neoplasms, experimental / prevention &amp; control', 'rats', 'seaweed', 'solutions', 'tumor cells, cultured']"
MED-514,"['adult', 'aged', 'carcinoma, papillary / etiology', 'diet / adverse effects', 'diet surveys', 'female', 'follow-up studies', 'humans', 'iodine / administration &amp; dosage', 'iodine / adverse effects', 'japan', 'middle aged', 'proportional hazards models', 'prospective studies', 'risk factors', 'seaweed / chemistry', 'thyroid neoplasms / etiology']"
MED-515,"['anti-inflammatory agents, non-steroidal / therapeutic use', 'antioxidants / metabolism', 'antioxidants / pharmacology', 'body weight', 'comet assay', 'dna damage', 'diet', 'dietary supplements', 'exercise', 'female', 'free radicals / metabolism', 'humans', 'leukocytes / pathology', 'male', 'placebos', 'random allocation', 'running', 'sex factors', 'time factors', 'alpha-tocopherol / metabolism']"
MED-516,"['adult', 'cyclic n-oxides / metabolism', 'dna damage', 'electron spin resonance spectroscopy', 'exercise / physiology', 'free radicals / metabolism', 'humans', 'lipid peroxidation / physiology', 'lipid peroxides / metabolism', 'male', 'protein carbonylation / physiology', 'young adult']"
MED-517,"['adult', 'antioxidants / administration &amp; dosage', 'antioxidants / analysis', 'brassica', 'cross-over studies', 'dna damage', 'down-regulation', 'exercise', 'fatigue / blood', 'fatigue / immunology', 'fatigue / metabolism', 'functional food', 'humans', 'leukocytes, mononuclear / immunology', 'leukocytes, mononuclear / metabolism', 'lipid peroxidation', 'male', 'nasturtium', 'oxidative stress', 'plant leaves', 'time factors', 'united kingdom', 'vegetables', 'young adult']"
MED-518,"['brassicaceae / chemistry', 'cell survival', 'cells, cultured', 'comet assay', 'dna damage / drug effects', 'diet', 'humans', 'oxidative stress', 'plant extracts / pharmacology']"
MED-519,"['animals', 'exercise / physiology', 'female', 'free radicals / analysis', 'health status', 'humans', 'lipid peroxidation / physiology', 'male', 'oxidative stress / physiology', 'oxygen consumption / physiology', 'physical conditioning, animal', 'sensitivity and specificity']"
MED-520,"['8-hydroxy-2&#39;-deoxyguanosine', 'adult', 'aerobiosis', 'biomarkers / blood', 'creatine kinase / blood', 'dna damage', 'dna repair', 'deoxyguanosine / analogs &amp; derivatives', 'deoxyguanosine / urine', 'exercise / physiology', 'free radicals', 'humans', 'kinetics', 'leukocytes / chemistry', 'lipid peroxidation', 'male', 'nitrates / blood', 'nitrites / blood', 'oxidation-reduction', 'running']"
MED-521,"['adult', 'aerobiosis', 'anaerobiosis', 'dna / isolation &amp; purification', 'dna damage', 'electrophoresis, agar gel', 'exercise / physiology', 'female', 'humans', 'leukocytes / metabolism', 'leukocytes / ultrastructure', 'male', 'sister chromatid exchange']"
MED-522,"['antioxidants / pharmacology', 'antioxidants / therapeutic use', 'cardiovascular diseases / prevention &amp; control', 'diet, vegetarian', 'exercise / physiology', 'humans', 'neoplasms / prevention &amp; control', 'oxidative stress / drug effects']"
MED-523,"['acetylcysteine / administration &amp; dosage', 'acetylcysteine / adverse effects', 'adult', 'antioxidants / analysis', 'ascorbic acid / administration &amp; dosage', 'ascorbic acid / adverse effects', 'bleomycin', 'creatine kinase / blood', 'dinoprost / analogs &amp; derivatives', 'double-blind method', 'exercise', 'f2-isoprostanes / blood', 'glutathione peroxidase / blood', 'humans', 'interleukin-6 / blood', 'iron / blood', 'l-lactate dehydrogenase / blood', 'lipid peroxidation', 'lipid peroxides / blood', 'male', 'muscle, skeletal / injuries', 'muscle, skeletal / pathology', 'myoglobin / blood', 'myositis / etiology', 'myositis / metabolism', 'myositis / pathology', 'oxidative stress', 'pain', 'peroxidase / blood', 'placebos', 'superoxide dismutase / blood']"
MED-524,"['adolescent', 'adult', 'biomechanical phenomena', 'cross-over studies', 'elbow / injuries', 'elbow / physiopathology', 'exercise / physiology', 'fruit', 'humans', 'male', 'muscle contraction / physiology', 'muscle, skeletal / injuries', 'muscle, skeletal / physiopathology', 'phytotherapy', 'plant preparations / therapeutic use', 'prunus']"
MED-525,"['anti-inflammatory agents', 'biomarkers / blood', 'body mass index', 'c-reactive protein / analysis', 'chemokine ccl5 / blood', 'diet', 'energy intake', 'female', 'fruit / chemistry', 'humans', 'inflammation / blood', 'intercellular adhesion molecule-1 / analysis', 'lipids / blood', 'male', 'middle aged', 'nitric oxide / blood', 'phenols / analysis', 'prunus', 'receptors, interleukin-6 / blood', 'tissue inhibitor of metalloproteinase-2 / blood']"
MED-526,"['biopsy', 'electron transport complex iv / metabolism', 'focal adhesion kinase 1 / metabolism', 'gene expression profiling / methods', 'gene expression regulation', 'heat-shock proteins / metabolism', 'humans', 'inflammation mediators / metabolism', 'interleukin-6 / metabolism', 'male', 'massage', 'mechanotransduction, cellular / genetics', 'mitochondria, muscle / metabolism', 'mitochondria, muscle / pathology', 'mitogen-activated protein kinase 1 / metabolism', 'mitogen-activated protein kinase 3 / metabolism', 'muscle contraction', 'muscular diseases / genetics', 'muscular diseases / metabolism', 'muscular diseases / pathology', 'muscular diseases / physiopathology', 'muscular diseases / therapy', 'nadh dehydrogenase / metabolism', 'nf-kappa b / metabolism', 'oligonucleotide array sequence analysis', 'ontario', 'peroxisome proliferator-activated receptor gamma coactivator 1-alpha', 'phosphorylation', 'physical exertion', 'quadriceps muscle / metabolism', 'quadriceps muscle / pathology', 'quadriceps muscle / physiopathology', 'real-time polymerase chain reaction', 'recovery of function', 'reverse transcriptase polymerase chain reaction', 'time factors', 'transcription factors / metabolism', 'tumor necrosis factor-alpha / metabolism', 'young adult']"
MED-527,"['adolescent', 'adult', 'anti-inflammatory agents, non-steroidal / therapeutic use', 'antioxidants / analysis', 'antioxidants / therapeutic use', 'athletes', 'biomarkers / blood', 'biomarkers / urine', 'blueberry plants / chemistry', 'exercise', 'f2-isoprostanes / blood', 'fruit / chemistry', 'humans', 'interleukin-10 / blood', 'killer cells, natural / immunology', 'lymphocyte count', 'myositis / blood', 'myositis / immunology', 'myositis / prevention &amp; control', 'myositis / urine', 'oxidative stress', 'physical endurance', 'running', 'thymidine / analogs &amp; derivatives', 'thymidine / urine', 'young adult']"
MED-528,"['acute disease', 'animals', 'edema / physiopathology', 'humans', 'myositis / pathology', 'myositis / physiopathology', 'pain / physiopathology', 'rats', 'skin temperature']"
MED-529,"['adaptation, physiological', 'adult', 'analysis of variance', 'anti-inflammatory agents / therapeutic use', 'antioxidants / therapeutic use', 'biomarkers', 'c-reactive protein', 'exercise tolerance / drug effects', 'female', 'humans', 'inflammation / drug therapy', 'inflammation / prevention &amp; control', 'interleukin-6', 'isometric contraction / drug effects', 'male', 'muscle, skeletal / drug effects', 'plant preparations / therapeutic use', 'prunus', 'running / physiology', 'uric acid']"
MED-530,"['adipose tissue / drug effects', 'adult', 'anaerobic threshold / drug effects', 'ascorbic acid / administration &amp; dosage', 'body weight / drug effects', 'cholesterol, hdl / blood', 'cholesterol, ldl / blood', 'citrus sinensis', 'exercise / physiology', 'female', 'folic acid / administration &amp; dosage', 'fruit', 'humans', 'lactic acid / blood', 'lipids / blood', 'middle aged', 'muscle fatigue / drug effects', 'overweight / blood', 'overweight / drug therapy', 'overweight / physiopathology', 'phytotherapy', 'plant preparations / pharmacology', 'plant preparations / therapeutic use']"
MED-531,"['aged', 'blood glucose / analysis', 'diabetes mellitus, type 2 / blood', 'diabetes mellitus, type 2 / diet therapy', 'diabetes mellitus, type 2 / metabolism', 'drinking', 'eating', 'female', 'fruit', 'humans', 'male', 'middle aged']"
MED-532,"['biological products / chemistry', 'biological products / therapeutic use', 'flavonoids / chemistry', 'flavonoids / therapeutic use', 'humans', 'lactones / chemistry', 'lactones / therapeutic use', 'lipase / antagonists &amp; inhibitors', 'lipid metabolism', 'obesity / drug therapy', 'obesity / metabolism', 'pancreas / enzymology', 'phenols / chemistry', 'phenols / therapeutic use', 'plant extracts / chemistry', 'plant extracts / therapeutic use', 'plants, medicinal', 'polyphenols', 'saponins / chemistry', 'saponins / therapeutic use', 'terpenes / chemistry', 'terpenes / therapeutic use']"
MED-533,"['adult', 'aged', 'ascorbic acid / blood', 'beverages', 'body mass index', 'cholesterol, hdl / blood', 'cholesterol, ldl / blood', 'citrus', 'energy intake', 'female', 'folic acid / blood', 'homocysteine / blood', 'humans', 'hypercholesterolemia / blood', 'male', 'middle aged', 'nutritional physiological phenomena', 'triglycerides / blood']"
MED-534,"['adult', 'aged', 'brain ischemia / epidemiology', 'brain ischemia / prevention &amp; control', 'citrus', 'cohort studies', 'diet', 'female', 'follow-up studies', 'fruit', 'humans', 'incidence', 'male', 'middle aged', 'multivariate analysis', 'risk', 'risk factors', 'surveys and questionnaires', 'united states / epidemiology', 'vegetables']"
